SA2_CODE21,SA2_NAME21,burden_tier_rel,burden_tier_abs,shap_feature,shap_value,feature_label,abs_shap_value,tier_order_rel,tier_order_abs
404021099,Largs Bay - Semaphore,Moderate,Low,shap_irsd_score,-0.0077134260661032,IRSD (Disadvantage),0.0077134260661032,3,4
404021100,North Haven,Moderate,Low,shap_irsd_score,-0.0144742610444417,IRSD (Disadvantage),0.0144742610444417,3,4
404021101,Port Adelaide,Moderate,Low,shap_irsd_score,0.0151386315960834,IRSD (Disadvantage),0.0151386315960834,3,4
404021102,The Parks,Moderate,Low,shap_irsd_score,0.0188611916616888,IRSD (Disadvantage),0.0188611916616888,3,4
404021103,Torrens Island,Critical,Moderate,shap_irsd_score,0.020048897165374,IRSD (Disadvantage),0.020048897165374,1,3
404031105,Fulham,Low,Low,shap_irsd_score,-0.0574006460292903,IRSD (Disadvantage),0.0574006460292903,4,4
404031106,Lockleys,Moderate,Low,shap_irsd_score,-0.0157951308382343,IRSD (Disadvantage),0.0157951308382343,3,4
404031107,Plympton,Moderate,Low,shap_irsd_score,-0.0082768481813811,IRSD (Disadvantage),0.0082768481813811,3,4
404031108,Richmond (SA),Moderate,Low,shap_irsd_score,0.0068088367475285,IRSD (Disadvantage),0.0068088367475285,3,4
404031109,West Beach,Low,Low,shap_irsd_score,-0.0598458553737267,IRSD (Disadvantage),0.0598458553737267,4,4
405011110,Barossa - Angaston,Moderate,Low,shap_irsd_score,-0.0149069119832287,IRSD (Disadvantage),0.0149069119832287,3,4
405011111,Light,Moderate,Low,shap_irsd_score,-0.0222534727103473,IRSD (Disadvantage),0.0222534727103473,3,4
405011112,Lyndoch,Moderate,Low,shap_irsd_score,-0.0418686333190403,IRSD (Disadvantage),0.0418686333190403,3,4
405011113,Mallala,Moderate,Low,shap_irsd_score,0.0109862464718834,IRSD (Disadvantage),0.0109862464718834,3,4
405011114,Nuriootpa,Moderate,Low,shap_irsd_score,-0.0195795149345592,IRSD (Disadvantage),0.0195795149345592,3,4
405011115,Tanunda,Moderate,Low,shap_irsd_score,-0.0244238947279565,IRSD (Disadvantage),0.0244238947279565,3,4
405021116,Clare,Moderate,Low,shap_irsd_score,-0.0315568845539508,IRSD (Disadvantage),0.0315568845539508,3,4
405021117,Gilbert Valley,High,Low,shap_irsd_score,-0.014778945792292,IRSD (Disadvantage),0.014778945792292,2,4
405021118,Goyder,Critical,Moderate,shap_irsd_score,0.0813560336564287,IRSD (Disadvantage),0.0813560336564287,1,3
405021119,Wakefield - Barunga West,High,Moderate,shap_irsd_score,-0.0406779723583949,IRSD (Disadvantage),0.0406779723583949,2,3
405031120,Jamestown,High,Low,shap_irsd_score,-0.0264026489037963,IRSD (Disadvantage),0.0264026489037963,2,4
405031121,Peterborough - Mount Remarkable,Critical,Moderate,shap_irsd_score,0.111217735653363,IRSD (Disadvantage),0.111217735653363,1,3
405031122,Port Pirie,Critical,Moderate,shap_irsd_score,0.112275393198549,IRSD (Disadvantage),0.112275393198549,1,3
405031123,Port Pirie Surrounds,High,Low,shap_irsd_score,-0.0261906952735621,IRSD (Disadvantage),0.0261906952735621,2,4
405041124,Kadina,High,Low,shap_irsd_score,-0.0376202991842625,IRSD (Disadvantage),0.0376202991842625,2,4
