"SA2_CODE21","SA2_NAME21","SA3_NAME21","SA4_NAME21","population","AREASQKM21","provider_type","provider_note","is_provider_confirmed","is_metro","irsd_score","irsd_decile","irsad_score","irsad_decile","ier_score","ier_decile","ieo_score","ieo_decile","median_hhd_inc_weekly_2021","median_hhd_inc_annual_2021","median_hhd_inc_annual_adj","bill_usage_only","bill_usage_supply","bill_owner_metro","bill_owner_country","bill_owner_blended","water_cost_burden_ratio","burden_ratio_renter","burden_ratio_owner_metro","burden_ratio_owner_country","burden_tier_abs","burden_tier_rel","estimated_hardship_need","hardship_priority_score","top_critical_driver","top_critical_driver_shap","water_cost_burden_pct","burden_ratio_owner_metro_pct","burden_ratio_owner_country_pct","burden_ratio_renter_pct","hardship_priority_pct","tier_order_rel","tier_order_abs","hardship_priority_flag"
"402041172","Pooraka - Cavan","Salisbury","Adelaide - North","8080.0","7.4904","SA Water","","0","1","911.0","2.0","906.0","2.0","932.0","2.0","924.0","3.0","1263","65676","75038.0","472.63","787.03","1160.23","1343.83","1160.23","0.015462","0.010488","0.015462","0.017909","Low","Moderate","11.2","1.6376","Area (km²)","-0.1573652495704075","1.55","1.55","1.79","1.05","163.76","3","4","0"
"402051049","Golden Grove","Tea Tree Gully","Adelaide - North","10406.0","26.6144","SA Water","","0","1","1043.0","7.0","1016.0","6.0","1035.0","7.0","1004.0","6.0","1674","87048","99456.0","472.63","787.03","1160.23","1343.83","1160.23","0.011666","0.007913","0.011666","0.013512","Low","Moderate","14.4","1.0266","IRSAD (Adv/Disadv)","-0.0781864270071172","1.17","1.17","1.35","0.79","102.66","3","4","0"
"402051050","Greenwith","Tea Tree Gully","Adelaide - North","9017.0","6.0371","SA Water","","0","1","1039.0","7.0","1004.0","6.0","1033.0","7.0","991.0","6.0","1937","100724","115081.0","472.63","787.03","1160.23","1343.83","1160.23","0.010082","0.006839","0.010082","0.011677","Low","Low","3.1","0.4308","IRSAD (Adv/Disadv)","-0.068706334129233","1.01","1.01","1.17","0.68","43.08","4","4","0"
"402051051","Highbury - Dernancourt","Tea Tree Gully","Adelaide - North","11048.0","12.001","SA Water","","0","1","1068.0","9.0","1042.0","7.0","1055.0","8.0","1041.0","7.0","1920","99840","114071.0","472.63","787.03","1160.23","1343.83","1160.23","0.010171","0.006899","0.010171","0.011781","Low","Low","3.8","0.4363","IRSAD (Adv/Disadv)","-0.0702267717225214","1.02","1.02","1.18","0.69","43.63","4","4","0"
"402051052","Hope Valley - Modbury","Tea Tree Gully","Adelaide - North","17496.0","10.3125","SA Water","","0","1","987.0","4.0","960.0","4.0","962.0","3.0","959.0","4.0","1314","68328","78068.0","472.63","787.03","1160.23","1343.83","1160.23","0.014862","0.010081","0.014862","0.017214","Low","Moderate","24.3","1.541","Population","-0.1007174981794703","1.49","1.49","1.72","1.01","154.1","3","4","0"
"402051053","Modbury Heights","Tea Tree Gully","Adelaide - North","19248.0","9.9089","SA Water","","0","1","1030.0","6.0","992.0","5.0","1013.0","6.0","983.0","5.0","1657","86164","98446.0","472.63","787.03","1160.23","1343.83","1160.23","0.011785","0.007995","0.011785","0.01365","Low","Moderate","26.7","1.0457","IRSAD (Adv/Disadv)","-0.0630513031700973","1.18","1.18","1.36","0.8","104.57","3","4","0"
"402051054","Redwood Park","Tea Tree Gully","Adelaide - North","16276.0","14.1403","SA Water","","0","1","1048.0","8.0","1000.0","6.0","1038.0","8.0","974.0","5.0","1818","94536","108011.0","472.63","787.03","1160.23","1343.83","1160.23","0.010742","0.007287","0.010742","0.012442","Low","Low","5.6","0.4722","IER (Econ Resources)","-0.0604489341790325","1.07","1.07","1.24","0.73","47.22","4","4","0"
"402051055","St Agnes - Ridgehaven","Tea Tree Gully","Adelaide - North","13161.0","12.2999","SA Water","","0","1","1024.0","6.0","986.0","5.0","1005.0","6.0","977.0","5.0","1492","77584","88643.0","472.63","787.03","1160.23","1343.83","1160.23","0.013089","0.008879","0.013089","0.01516","Low","Moderate","18.3","1.2556","IER (Econ Resources)","-0.0744542468045855","1.31","1.31","1.52","0.89","125.56","3","4","0"
"403011056","Brighton (SA)","Holdfast Bay","Adelaide - South","15191.0","5.9168","SA Water","","0","1","1048.0","7.0","1043.0","7.0","1013.0","6.0","1065.0","8.0","1673","86996","99397.0","472.63","787.03","1160.23","1343.83","1160.23","0.011673","0.007918","0.011673","0.01352","Low","Moderate","21.1","1.0277","IRSAD (Adv/Disadv)","-0.0581188704322045","1.17","1.17","1.35","0.79","102.77","3","4","0"
"403011057","Glenelg (SA)","Holdfast Bay","Adelaide - South","20522.0","7.2232","SA Water","","0","1","1047.0","7.0","1046.0","7.0","988.0","5.0","1062.0","8.0","1562","81224","92802.0","472.63","787.03","1160.23","1343.83","1160.23","0.012502","0.008481","0.012502","0.014481","Low","Moderate","28.5","1.1611","IRSAD (Adv/Disadv)","-0.0610513379032879","1.25","1.25","1.45","0.85","116.11","3","4","0"
