SA2_CODE21,SA2_NAME21,SA3_NAME21,SA4_NAME21,population,AREASQKM21,provider_type,provider_note,is_provider_confirmed,is_metro,irsd_score,irsd_decile,irsad_score,irsad_decile,ier_score,ier_decile,ieo_score,ieo_decile,median_hhd_inc_weekly_2021,median_hhd_inc_annual_2021,median_hhd_inc_annual_adj,bill_usage_only,bill_usage_supply,bill_owner_metro,bill_owner_country,bill_owner_blended,water_cost_burden_ratio,burden_ratio_renter,burden_ratio_owner_metro,burden_ratio_owner_country,burden_tier_abs,burden_tier_rel,estimated_hardship_need,hardship_priority_score,water_stress_index,stress_pct_rank,stress_tier
402051051,Highbury - Dernancourt,Tea Tree Gully,Adelaide - North,11048.0,12.001,SA Water,,False,True,1068.0,9.0,1042.0,7.0,1055.0,8.0,1041.0,7.0,1920,99840,114071.0,472.63,787.03,1160.23,1343.83,1160.23,0.010171,0.006899,0.010171,0.011781,Low,Low,3.8,0.4363,2130.8436,0.1051,Low
402051052,Hope Valley - Modbury,Tea Tree Gully,Adelaide - North,17496.0,10.3125,SA Water,,False,True,987.0,4.0,960.0,4.0,962.0,3.0,959.0,4.0,1314,68328,78068.0,472.63,787.03,1160.23,1343.83,1160.23,0.014862,0.010081,0.014862,0.017214,Low,Moderate,24.3,1.541,2336.8399,0.6108,High
402051053,Modbury Heights,Tea Tree Gully,Adelaide - North,19248.0,9.9089,SA Water,,False,True,1030.0,6.0,992.0,5.0,1013.0,6.0,983.0,5.0,1657,86164,98446.0,472.63,787.03,1160.23,1343.83,1160.23,0.011785,0.007995,0.011785,0.01365,Low,Moderate,26.7,1.0457,2219.1905,0.2812,Moderate
402051054,Redwood Park,Tea Tree Gully,Adelaide - North,16276.0,14.1403,SA Water,,False,True,1048.0,8.0,1000.0,6.0,1038.0,8.0,974.0,5.0,1818,94536,108011.0,472.63,787.03,1160.23,1343.83,1160.23,0.010742,0.007287,0.010742,0.012442,Low,Low,5.6,0.4722,2165.7418,0.1705,Low
402051055,St Agnes - Ridgehaven,Tea Tree Gully,Adelaide - North,13161.0,12.2999,SA Water,,False,True,1024.0,6.0,986.0,5.0,1005.0,6.0,977.0,5.0,1492,77584,88643.0,472.63,787.03,1160.23,1343.83,1160.23,0.013089,0.008879,0.013089,0.01516,Low,Moderate,18.3,1.2556,2236.8557,0.3324,Moderate
403011056,Brighton (SA),Holdfast Bay,Adelaide - South,15191.0,5.9168,SA Water,,False,True,1048.0,7.0,1043.0,7.0,1013.0,6.0,1065.0,8.0,1673,86996,99397.0,472.63,787.03,1160.23,1343.83,1160.23,0.011673,0.007918,0.011673,0.01352,Low,Moderate,21.1,1.0277,2219.1905,0.2812,Moderate
403011057,Glenelg (SA),Holdfast Bay,Adelaide - South,20522.0,7.2232,SA Water,,False,True,1047.0,7.0,1046.0,7.0,988.0,5.0,1062.0,8.0,1562,81224,92802.0,472.63,787.03,1160.23,1343.83,1160.23,0.012502,0.008481,0.012502,0.014481,Low,Moderate,28.5,1.1611,2275.3441,0.4403,Moderate
403021058,Edwardstown,Marion,Adelaide - South,14563.0,5.5375,SA Water,,False,True,985.0,4.0,983.0,5.0,924.0,2.0,1022.0,7.0,1452,75504,86267.0,472.63,787.03,1160.23,1343.83,1160.23,0.013449,0.009123,0.013449,0.015578,Low,Moderate,20.2,1.3136,2432.9437,0.7983,Critical
403021059,Hallett Cove,Marion,Adelaide - South,12609.0,9.2762,SA Water,,False,True,1057.0,8.0,1025.0,7.0,1052.0,8.0,1011.0,6.0,1876,97552,111457.0,472.63,787.03,1160.23,1343.83,1160.23,0.01041,0.007061,0.01041,0.012057,Low,Low,4.4,0.4513,2136.9202,0.125,Low
403021060,Marino - Seaview Downs,Marion,Adelaide - South,9703.0,12.2123,SA Water,,False,True,1060.0,8.0,1038.0,7.0,1042.0,8.0,1041.0,7.0,1821,94692,108190.0,472.63,787.03,1160.23,1343.83,1160.23,0.010724,0.007275,0.010724,0.012421,Low,Low,3.4,0.4711,2157.428,0.1648,Low
